name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Millbillillie,Valid,Eucrite-mmict,330000,Fell,01/01/1960 12:00:00 AM,-26.45,120.36667,"(-26.450000, 120.366670)"
Miller (Arkansas),Valid,H5,16700,Fell,01/01/1930 12:00:00 AM,35.4,-92.05,"(35.400000, -92.050000)"
Minamino,Valid,L,1040,Fell,01/01/1632 12:00:00 AM,35.07833,136.93333,"(35.078330, 136.933330)"
Mineo,Valid,Pallasite,42,Fell,01/01/1826 12:00:00 AM,37.28333,14.7,"(37.283330, 14.700000)"
Min-Fan-Zhun,Valid,LL6,5500,Fell,01/01/1952 12:00:00 AM,32.33333,120.66667,"(32.333330, 120.666670)"
Minnichhof,Valid,OC,550,Fell,01/01/1905 12:00:00 AM,47.7,16.6,"(47.700000, 16.600000)"
Mirzapur,Valid,L5,8510,Fell,01/01/1910 12:00:00 AM,25.68333,83.25,"(25.683330, 83.250000)"
Misshof,Valid,H5,5800,Fell,01/01/1890 12:00:00 AM,56.66667,23,"(56.666670, 23.000000)"
Mjelleim,Valid,H,100.7,Fell,01/01/1898 12:00:00 AM,61.73333,5.93333,"(61.733330, 5.933330)"
Mocs,Valid,L5-6,300000,Fell,01/01/1882 12:00:00 AM,46.8,24.03333,"(46.800000, 24.033330)"
Modoc (1905),Valid,L6,35000,Fell,01/01/1905 12:00:00 AM,38.5,-101.1,"(38.500000, -101.100000)"
Mokoia,Valid,CV3,4500,Fell,01/01/1908 12:00:00 AM,-39.63333,174.4,"(-39.633330, 174.400000)"
Molina,Valid,H5,144000,Fell,01/01/1858 12:00:00 AM,38.11667,-1.16667,"(38.116670, -1.166670)"
Molteno,Valid,Howardite,150,Fell,01/01/1953 12:00:00 AM,-31.25,26.46667,"(-31.250000, 26.466670)"
Monahans (1998),Valid,H5,2587,Fell,01/01/1998 12:00:00 AM,31.60833,-102.85833,"(31.608330, -102.858330)"
Monroe,Valid,H4,8600,Fell,01/01/1849 12:00:00 AM,35.25,-80.5,"(35.250000, -80.500000)"
Monte das Fortes,Valid,L5,4885,Fell,01/01/1950 12:00:00 AM,38.01667,-8.25,"(38.016670, -8.250000)"
Monte Milone,Valid,L5,3130,Fell,01/01/1846 12:00:00 AM,43.26667,13.35,"(43.266670, 13.350000)"
Montferré,Valid,H5,149000,Fell,01/01/1923 12:00:00 AM,43.39056,1.9625,"(43.390560, 1.962500)"
Montlivault,Valid,L6,500,Fell,01/01/1838 12:00:00 AM,47.63333,1.58333,"(47.633330, 1.583330)"
Monze,Valid,L6,,Fell,01/01/1950 12:00:00 AM,-15.96667,27.35,"(-15.966670, 27.350000)"
Moore County,Valid,Eucrite-cm,1880,Fell,01/01/1913 12:00:00 AM,35.41667,-79.38333,"(35.416670, -79.383330)"
Mooresfort,Valid,H5,3520,Fell,01/01/1810 12:00:00 AM,52.45,-8.33333,"(52.450000, -8.333330)"
Moorleah,Valid,L6,8887.5,Fell,01/01/1930 12:00:00 AM,-40.975,145.6,"(-40.975000, 145.600000)"
Moradabad,Valid,L6,70,Fell,01/01/1808 12:00:00 AM,28.78333,78.83333,"(28.783330, 78.833330)"
Morávka,Valid,H5,633,Fell,01/01/2000 12:00:00 AM,49.6,18.53333,"(49.600000, 18.533330)"
Mornans,Valid,H5,1300,Fell,01/01/1875 12:00:00 AM,44.6,5.13333,"(44.600000, 5.133330)"
Moss,Valid,CO3.6,3763,Fell,01/01/2006 12:00:00 AM,59.43333,10.7,"(59.433330, 10.700000)"
Moti-ka-nagla,Valid,H6,1500,Fell,01/01/1868 12:00:00 AM,26.83333,77.33333,"(26.833330, 77.333330)"
Motta di Conti,Valid,H4,9150,Fell,01/01/1868 12:00:00 AM,45.2,8.5,"(45.200000, 8.500000)"
Mount Browne,Valid,H6,11300,Fell,01/01/1902 12:00:00 AM,-29.8,141.7,"(-29.800000, 141.700000)"
Mount Tazerzait,Valid,L5,110000,Fell,01/01/1991 12:00:00 AM,18.7,4.8,"(18.700000, 4.800000)"
Mount Vaisi,Valid,Stone-uncl,17000,Fell,01/01/1637 12:00:00 AM,44.08333,6.86667,"(44.083330, 6.866670)"
Mtola,Valid,Stone-uncl,1100,Fell,01/01/1944 12:00:00 AM,-11.5,33.5,"(-11.500000, 33.500000)"
Muddoor,Valid,L5,4400,Fell,01/01/1865 12:00:00 AM,12.63333,77.01667,"(12.633330, 77.016670)"
Mulletiwu,Valid,L,25.5,Fell,01/01/1795 12:00:00 AM,9.33333,80.83333,"(9.333330, 80.833330)"
Muraid,Valid,L6,4703,Fell,01/01/1924 12:00:00 AM,24.5,90.21667,"(24.500000, 90.216670)"
Murchison,Valid,CM2,100000,Fell,01/01/1969 12:00:00 AM,-36.61667,145.2,"(-36.616670, 145.200000)"
Murray,Valid,CM2,12600,Fell,01/01/1950 12:00:00 AM,36.6,-88.1,"(36.600000, -88.100000)"
Muzaffarpur,Valid,"Iron, IAB-sHL",1245,Fell,01/01/1964 12:00:00 AM,26.13333,85.53333,"(26.133330, 85.533330)"
Myhee Caunta,Valid,OC,,Fell,01/01/1842 12:00:00 AM,23.05,72.63333,"(23.050000, 72.633330)"
Nadiabondi,Valid,H5,8165,Fell,01/01/1956 12:00:00 AM,12,1,"(12.000000, 1.000000)"
Nagai,Valid,L6,1810,Fell,01/01/1922 12:00:00 AM,38.12167,140.06167,"(38.121670, 140.061670)"
Nagaria,Valid,Eucrite-cm,20,Fell,01/01/1875 12:00:00 AM,26.98333,78.21667,"(26.983330, 78.216670)"
Nagy-Borové,Valid,L5,6100,Fell,01/01/1895 12:00:00 AM,49.16667,19.5,"(49.166670, 19.500000)"
Nakhla,Valid,Martian (nakhlite),10000,Fell,01/01/1911 12:00:00 AM,31.31667,30.35,"(31.316670, 30.350000)"
Nakhon Pathom,Valid,L6,23200,Fell,01/01/1923 12:00:00 AM,13.73333,100.08333,"(13.733330, 100.083330)"
Nammianthal,Valid,H5,4500,Fell,01/01/1886 12:00:00 AM,12.28333,79.2,"(12.283330, 79.200000)"
Nan Yang Pao,Valid,L6,52900,Fell,01/01/1917 12:00:00 AM,35.66667,103.5,"(35.666670, 103.500000)"
Nanjemoy,Valid,H6,7500,Fell,01/01/1825 12:00:00 AM,38.41667,-77.16667,"(38.416670, -77.166670)"
Nantong,Valid,H6,529,Fell,01/01/1984 12:00:00 AM,32.11667,121.8,"(32.116670, 121.800000)"
Naoki,Valid,H6,17000,Fell,01/01/1928 12:00:00 AM,19.25,77,"(19.250000, 77.000000)"
Naragh,Valid,H6,2700,Fell,01/01/1974 12:00:00 AM,33.75,51.5,"(33.750000, 51.500000)"
Narellan,Valid,L6,367.5,Fell,01/01/1928 12:00:00 AM,-34.05,150.68889,"(-34.050000, 150.688890)"
Narni,Valid,Stone-uncl,,Fell,12/27/0920 12:00:00 AM,42.51667,12.51667,"(42.516670, 12.516670)"
Nassirah,Valid,H4,347,Fell,01/01/1936 12:00:00 AM,-21.73333,165.9,"(-21.733330, 165.900000)"
Natal,Valid,Stone-uncl,1.4,Fell,01/01/1973 12:00:00 AM,,,
Nawapali,Valid,CM2,105,Fell,01/01/1890 12:00:00 AM,21.25,83.66667,"(21.250000, 83.666670)"
Neagari,Valid,L6,420,Fell,01/01/1995 12:00:00 AM,36.44917,136.46528,"(36.449170, 136.465280)"
Nedagolla,Valid,"Iron, ungrouped",4500,Fell,01/01/1870 12:00:00 AM,18.68333,83.48333,"(18.683330, 83.483330)"
Nejo,Valid,L6,2450,Fell,01/01/1970 12:00:00 AM,9.5,35.33333,"(9.500000, 35.333330)"
Nerft,Valid,L6,10250,Fell,01/01/1864 12:00:00 AM,56.5,21.5,"(56.500000, 21.500000)"
Neuschwanstein,Valid,EL6,6189,Fell,01/01/2002 12:00:00 AM,47.525,10.80833,"(47.525000, 10.808330)"
New Concord,Valid,L6,230000,Fell,01/01/1860 12:00:00 AM,40,-81.76667,"(40.000000, -81.766670)"
New Halfa,Valid,L4,12000,Fell,01/01/1994 12:00:00 AM,15.36667,35.68333,"(15.366670, 35.683330)"
New Orleans,Valid,H5,19256,Fell,01/01/2003 12:00:00 AM,29.94718,-90.10976,"(29.947180, -90.109760)"
Ngawi,Valid,LL3.6,1393,Fell,01/01/1883 12:00:00 AM,-7.45,111.41667,"(-7.450000, 111.416670)"
N'Goureyma,Valid,"Iron, ungrouped",37500,Fell,01/01/1900 12:00:00 AM,13.85,-4.38333,"(13.850000, -4.383330)"
Nicorps,Valid,Stone-uncl,,Fell,01/01/1750 12:00:00 AM,49.03333,-1.43333,"(49.033330, -1.433330)"
Niger (L6),Valid,L6,3.3,Fell,01/01/1967 12:00:00 AM,,,
Niger (LL6),Valid,LL6,3.3,Fell,01/01/1967 12:00:00 AM,,,
Nikolaevka,Valid,H4,3996,Fell,01/01/1935 12:00:00 AM,52.45,78.63333,"(52.450000, 78.633330)"
Nikolskoe,Valid,L4,6000,Fell,01/01/1954 12:00:00 AM,56.11667,37.33333,"(56.116670, 37.333330)"
Ningbo,Valid,"Iron, IVA",14250,Fell,01/01/1975 12:00:00 AM,29.86667,121.48333,"(29.866670, 121.483330)"
Ningqiang,Valid,C3-ung,4610,Fell,01/01/1983 12:00:00 AM,32.925,105.90667,"(32.925000, 105.906670)"
Nio,Valid,H3-4,467,Fell,01/01/1897 12:00:00 AM,34.2,131.56667,"(34.200000, 131.566670)"
N'Kandhla,Valid,"Iron, IID",17200,Fell,01/01/1912 12:00:00 AM,-28.56667,30.7,"(-28.566670, 30.700000)"
Nobleborough,Valid,Eucrite-pmict,2300,Fell,01/01/1823 12:00:00 AM,44.08333,-69.48333,"(44.083330, -69.483330)"
Noblesville,Valid,H4-6,483.7,Fell,01/01/1991 12:00:00 AM,40.08528,-86.055,"(40.085280, -86.055000)"
Nogata,Valid,L6,472,Fell,12/28/0860 12:00:00 AM,33.725,130.75,"(33.725000, 130.750000)"
Nogoya,Valid,CM2,4000,Fell,01/01/1879 12:00:00 AM,-32.36667,-59.83333,"(-32.366670, -59.833330)"
Norfork,Valid,"Iron, IIIAB",1050,Fell,01/01/1918 12:00:00 AM,36.21667,-92.26667,"(36.216670, -92.266670)"
Norton County,Valid,Aubrite,1100000,Fell,01/01/1948 12:00:00 AM,39.68333,-99.86667,"(39.683330, -99.866670)"
Noventa Vicentina,Valid,H4,177,Fell,01/01/1971 12:00:00 AM,45.29167,11.52722,"(45.291670, 11.527220)"
Novo-Urei,Valid,Ureilite,1900,Fell,01/01/1886 12:00:00 AM,54.81667,46,"(54.816670, 46.000000)"
Novy-Ergi,Valid,Stone-uncl,,Fell,01/01/1662 12:00:00 AM,58.55,31.33333,"(58.550000, 31.333330)"
Novy-Projekt,Valid,OC,1001,Fell,01/01/1908 12:00:00 AM,56,22,"(56.000000, 22.000000)"
Noyan-Bogdo,Valid,L6,250,Fell,01/01/1933 12:00:00 AM,42.91667,102.46667,"(42.916670, 102.466670)"
Nuevo Mercurio,Valid,H5,50000,Fell,01/01/1978 12:00:00 AM,24.3,-102.13333,"(24.300000, -102.133330)"
Nulles,Valid,H6,5000,Fell,01/01/1851 12:00:00 AM,41.63333,0.75,"(41.633330, 0.750000)"
Numakai,Valid,H4,363,Fell,01/01/1925 12:00:00 AM,43.33333,141.86667,"(43.333330, 141.866670)"
Nyaung,Valid,"Iron, IIIAB",737.6,Fell,01/01/1939 12:00:00 AM,21.20833,94.91667,"(21.208330, 94.916670)"
Nyirábrany,Valid,LL5,1100,Fell,01/01/1914 12:00:00 AM,47.55,22.025,"(47.550000, 22.025000)"
Ochansk,Valid,H4,500000,Fell,01/01/1887 12:00:00 AM,57.78333,55.26667,"(57.783330, 55.266670)"
Oesede,Valid,H5,1400,Fell,01/01/1927 12:00:00 AM,52.28333,8.05,"(52.283330, 8.050000)"
Oesel,Valid,L6,6000,Fell,01/01/1855 12:00:00 AM,58.5,23,"(58.500000, 23.000000)"
Ofehértó,Valid,L6,3750,Fell,01/01/1900 12:00:00 AM,47.88333,22.03333,"(47.883330, 22.033330)"
Ogi,Valid,H6,14360,Fell,01/01/1741 12:00:00 AM,33.28333,130.2,"(33.283330, 130.200000)"
Ohaba,Valid,H5,16250,Fell,01/01/1857 12:00:00 AM,46.06667,23.58333,"(46.066670, 23.583330)"
Ohuma,Valid,L5,7700,Fell,01/01/1963 12:00:00 AM,6.75,8.5,"(6.750000, 8.500000)"
Ojuelos Altos,Valid,L6,5850,Fell,01/01/1926 12:00:00 AM,38.18333,-5.4,"(38.183330, -5.400000)"
Okabe,Valid,H5,194,Fell,01/01/1958 12:00:00 AM,36.18333,139.21667,"(36.183330, 139.216670)"
Okano,Valid,"Iron, IIAB",4742,Fell,01/01/1904 12:00:00 AM,35.08333,135.2,"(35.083330, 135.200000)"
Okniny,Valid,LL6,12000,Fell,01/01/1834 12:00:00 AM,50.83333,25.5,"(50.833330, 25.500000)"
Oldenburg (1930),Valid,L6,16570,Fell,01/01/1930 12:00:00 AM,52.95,8.16667,"(52.950000, 8.166670)"
Oliva-Gandia,Valid,Stone-uncl,,Fell,12/22/1519 12:00:00 AM,39,-0.03333,"(39.000000, -0.033330)"
Olivenza,Valid,LL5,150000,Fell,01/01/1924 12:00:00 AM,38.71667,-7.06667,"(38.716670, -7.066670)"
Olmedilla de Alarcón,Valid,H5,40000,Fell,01/01/1929 12:00:00 AM,39.56667,-2.1,"(39.566670, -2.100000)"
Omolon,Valid,"Pallasite, PMG",250000,Fell,01/01/1981 12:00:00 AM,64.02,161.80833,"(64.020000, 161.808330)"
Orgueil,Valid,CI1,14000,Fell,01/01/1864 12:00:00 AM,43.88333,1.38333,"(43.883330, 1.383330)"
Orlando,Valid,Eucrite,180,Fell,01/01/2004 12:00:00 AM,28.5475,-81.36222,"(28.547500, -81.362220)"
Ornans,Valid,CO3.4,6000,Fell,01/01/1868 12:00:00 AM,47.11667,6.15,"(47.116670, 6.150000)"
Ortenau,Valid,Stone-uncl,4500,Fell,01/01/1671 12:00:00 AM,48.5,8,"(48.500000, 8.000000)"
Orvinio,Valid,H6,3400,Fell,01/01/1872 12:00:00 AM,42.13333,12.93333,"(42.133330, 12.933330)"
Oterøy,Valid,L6,246,Fell,01/01/1928 12:00:00 AM,58.88333,9.4,"(58.883330, 9.400000)"
Otomi,Valid,H,6510,Fell,01/01/1867 12:00:00 AM,38.4,140.35,"(38.400000, 140.350000)"
Ottawa,Valid,LL6,840,Fell,01/01/1896 12:00:00 AM,38.6,-95.21667,"(38.600000, -95.216670)"
Ouadangou,Valid,L5,4440,Fell,01/01/2003 12:00:00 AM,12.9,0.08,"(12.900000, 0.080000)"
Oued el Hadjar,Valid,LL6,1215.5,Fell,01/01/1986 12:00:00 AM,30.18,-6.57717,"(30.180000, -6.577170)"
Oum Dreyga,Valid,H3-5,17000,Fell,01/01/2003 12:00:00 AM,24.3,-13.1,"(24.300000, -13.100000)"
Ourique,Valid,H4,20000,Fell,01/01/1998 12:00:00 AM,37.60833,-8.28,"(37.608330, -8.280000)"
Ovambo,Valid,L6,121.5,Fell,01/01/1900 12:00:00 AM,-18,16,"(-18.000000, 16.000000)"
Oviedo,Valid,H5,205,Fell,01/01/1856 12:00:00 AM,43.4,-5.86667,"(43.400000, -5.866670)"
Owrucz,Valid,OC,,Fell,01/01/1775 12:00:00 AM,51.33333,28.83333,"(51.333330, 28.833330)"
Pacula,Valid,L6,3400,Fell,01/01/1881 12:00:00 AM,21.05,-99.3,"(21.050000, -99.300000)"
Padvarninkai,Valid,Eucrite-mmict,3858,Fell,01/01/1929 12:00:00 AM,55.66667,25,"(55.666670, 25.000000)"
Paitan,Valid,H6,515,Fell,01/01/1910 12:00:00 AM,17.74333,120.45583,"(17.743330, 120.455830)"
Palahatchie,Valid,OC,,Fell,01/01/1910 12:00:00 AM,32.31667,-89.71667,"(32.316670, -89.716670)"
Palca de Aparzo,Valid,L5,1430,Fell,01/01/1988 12:00:00 AM,-23.11667,-65.1,"(-23.116670, -65.100000)"
Palinshih,Valid,Iron,18000,Fell,01/01/1914 12:00:00 AM,43.48333,118.61667,"(43.483330, 118.616670)"
Palmyra,Valid,L3,135,Fell,01/01/1926 12:00:00 AM,39.8,-91.5,"(39.800000, -91.500000)"
Palolo Valley,Valid,H5,682,Fell,01/01/1949 12:00:00 AM,21.3,-157.78333,"(21.300000, -157.783330)"
Pampanga,Valid,L5,10500,Fell,01/01/1859 12:00:00 AM,15.08333,120.7,"(15.083330, 120.700000)"
Pantar,Valid,H5,2130,Fell,01/01/1938 12:00:00 AM,8.06667,124.28333,"(8.066670, 124.283330)"
Paragould,Valid,LL5,408000,Fell,01/01/1930 12:00:00 AM,36.06667,-90.5,"(36.066670, -90.500000)"
Parambu,Valid,LL5,2000,Fell,01/01/1967 12:00:00 AM,-6.23333,-40.7,"(-6.233330, -40.700000)"
Paranaiba,Valid,L6,100000,Fell,01/01/1956 12:00:00 AM,-19.13333,-51.66667,"(-19.133330, -51.666670)"
Park Forest,Valid,L5,18000,Fell,01/01/2003 12:00:00 AM,41.48472,-87.67917,"(41.484720, -87.679170)"
Parnallee,Valid,LL3.6,77600,Fell,01/01/1857 12:00:00 AM,9.23333,78.35,"(9.233330, 78.350000)"
Parsa,Valid,EH3,800,Fell,01/01/1942 12:00:00 AM,26.2,85.4,"(26.200000, 85.400000)"
Pasamonte,Valid,Eucrite-pmict,5100,Fell,01/01/1933 12:00:00 AM,36.21667,-103.4,"(36.216670, -103.400000)"
Patora,Valid,H6,4375,Fell,01/01/1969 12:00:00 AM,20.93694,82.05,"(20.936940, 82.050000)"
Patrimonio,Valid,L6,2121,Fell,01/01/1950 12:00:00 AM,-19.53333,-48.56667,"(-19.533330, -48.566670)"
Patti,Valid,Iron,12,Fell,01/01/1922 12:00:00 AM,38.13333,14.96667,"(38.133330, 14.966670)"
Patwar,Valid,Mesosiderite-A1,37350,Fell,01/01/1935 12:00:00 AM,23.15,91.18333,"(23.150000, 91.183330)"
Pavel,Valid,H5,2968,Fell,01/01/1966 12:00:00 AM,43.46667,25.51667,"(43.466670, 25.516670)"
Pavlodar (stone),Valid,H5,142.5,Fell,01/01/1938 12:00:00 AM,52.3,77.03333,"(52.300000, 77.033330)"
Pavlograd,Valid,L6,40000,Fell,01/01/1826 12:00:00 AM,48.53333,35.98333,"(48.533330, 35.983330)"
Pavlovka,Valid,Howardite,2000,Fell,01/01/1882 12:00:00 AM,52.03333,43,"(52.033330, 43.000000)"
Pê,Valid,L6,,Fell,01/01/1989 12:00:00 AM,11.33367,-3.54217,"(11.333670, -3.542170)"
Peace River,Valid,L6,45760,Fell,01/01/1963 12:00:00 AM,56.13333,-117.93333,"(56.133330, -117.933330)"
Peckelsheim,Valid,Diogenite-pm,117.8,Fell,01/01/1953 12:00:00 AM,51.66667,9.25,"(51.666670, 9.250000)"
Peekskill,Valid,H6,12570,Fell,01/01/1992 12:00:00 AM,41.28333,-73.91667,"(41.283330, -73.916670)"
Peña Blanca Spring,Valid,Aubrite,70000,Fell,01/01/1946 12:00:00 AM,30.125,-103.11667,"(30.125000, -103.116670)"
Peramiho,Valid,Eucrite-mmict,165,Fell,01/01/1899 12:00:00 AM,-10.66667,35.5,"(-10.666670, 35.500000)"
Perpeti,Valid,L6,23474,Fell,01/01/1935 12:00:00 AM,23.325,91,"(23.325000, 91.000000)"
Perth,Valid,LL5,2,Fell,01/01/1830 12:00:00 AM,56.4,-3.43333,"(56.400000, -3.433330)"
Pervomaisky,Valid,L6,66000,Fell,01/01/1933 12:00:00 AM,56.63333,39.43333,"(56.633330, 39.433330)"
Pesyanoe,Valid,Aubrite,3393,Fell,01/01/1933 12:00:00 AM,55.5,66.08333,"(55.500000, 66.083330)"
Pétèlkolé,Valid,H5,189,Fell,01/01/1995 12:00:00 AM,14.052,0.42,"(14.052000, 0.420000)"
Petersburg,Valid,Eucrite-pmict,1800,Fell,01/01/1855 12:00:00 AM,35.3,-86.63333,"(35.300000, -86.633330)"
Pettiswood,Valid,Stone-uncl,,Fell,01/01/1779 12:00:00 AM,53.53333,-7.33333,"(53.533330, -7.333330)"
Phillips County (stone),Valid,L6,57900,Fell,01/01/1901 12:00:00 AM,40,-99.25,"(40.000000, -99.250000)"
Phu Hong,Valid,H4,500,Fell,01/01/1887 12:00:00 AM,11.25,108.58333,"(11.250000, 108.583330)"
Phum Sambo,Valid,H4,7800,Fell,01/01/1933 12:00:00 AM,12,105.48333,"(12.000000, 105.483330)"
Phuoc-Binh,Valid,L5,11000,Fell,01/01/1941 12:00:00 AM,15.71667,108.1,"(15.716670, 108.100000)"
Piancaldoli,Valid,LL3.4,13.1,Fell,01/01/1968 12:00:00 AM,44.24417,11.50222,"(44.244170, 11.502220)"
Picote,Valid,Stone-uncl,,Fell,01/01/1843 12:00:00 AM,41.36667,-6.23333,"(41.366670, -6.233330)"
Pillistfer,Valid,EL6,23250,Fell,01/01/1863 12:00:00 AM,58.66667,25.73333,"(58.666670, 25.733330)"
Piplia Kalan,Valid,Eucrite-mmict,42000,Fell,01/01/1996 12:00:00 AM,26.03472,73.94167,"(26.034720, 73.941670)"
Piquetberg,Valid,H,37,Fell,01/01/1881 12:00:00 AM,-32.86667,18.71667,"(-32.866670, 18.716670)"
Pirgunje,Valid,L6,842,Fell,01/01/1882 12:00:00 AM,25.8,88.45,"(25.800000, 88.450000)"
Pirthalla,Valid,H6,1161,Fell,01/01/1884 12:00:00 AM,29.58333,76,"(29.583330, 76.000000)"
Pitts,Valid,"Iron, IAB-ung",3760,Fell,01/01/1921 12:00:00 AM,31.95,-83.51667,"(31.950000, -83.516670)"
Plantersville,Valid,H6,2085,Fell,01/01/1930 12:00:00 AM,30.7,-96.11667,"(30.700000, -96.116670)"
Pleşcoi,Valid,L5-6,6913,Fell,01/01/2008 12:00:00 AM,45.275,26.70972,"(45.275000, 26.709720)"
Ploschkovitz,Valid,L5,39,Fell,01/01/1723 12:00:00 AM,50.53333,14.11667,"(50.533330, 14.116670)"
Pnompehn,Valid,L6,96,Fell,01/01/1868 12:00:00 AM,11.58333,104.91667,"(11.583330, 104.916670)"
Pohlitz,Valid,L5,3000,Fell,01/01/1819 12:00:00 AM,50.93333,12.13333,"(50.933330, 12.133330)"
Pokhra,Valid,H5,350,Fell,01/01/1866 12:00:00 AM,26.71667,82.66667,"(26.716670, 82.666670)"
Pollen,Valid,CM2,253.6,Fell,01/01/1942 12:00:00 AM,66.34833,14.015,"(66.348330, 14.015000)"
Pontlyfni,Valid,Winonaite,157,Fell,01/01/1931 12:00:00 AM,53.03639,-4.31944,"(53.036390, -4.319440)"
Portales Valley,Valid,H6,71400,Fell,01/01/1998 12:00:00 AM,34.175,-103.295,"(34.175000, -103.295000)"
Portugal,Valid,Stone-uncl,4500,Fell,01/01/1796 12:00:00 AM,38.5,-8,"(38.500000, -8.000000)"
Po-wang Chen,Valid,LL,665,Fell,01/01/1933 12:00:00 AM,31.41667,118.5,"(31.416670, 118.500000)"
Prambachkirchen,Valid,L6,2125,Fell,01/01/1932 12:00:00 AM,48.3025,13.94083,"(48.302500, 13.940830)"
Pribram,Valid,H5,5555,Fell,01/01/1959 12:00:00 AM,49.66667,14.03333,"(49.666670, 14.033330)"
Pricetown,Valid,L6,900,Fell,01/01/1893 12:00:00 AM,39.11667,-83.85,"(39.116670, -83.850000)"
Puerto Lápice,Valid,Eucrite-br,500,Fell,01/01/2007 12:00:00 AM,39.35,-3.51667,"(39.350000, -3.516670)"
Pulsora,Valid,H5,560,Fell,01/01/1863 12:00:00 AM,23.36667,75.18333,"(23.366670, 75.183330)"
Pultusk,Valid,H5,250000,Fell,01/01/1868 12:00:00 AM,52.76667,21.26667,"(52.766670, 21.266670)"
Punganaru,Valid,Stone-uncl,100,Fell,01/01/1811 12:00:00 AM,13.33333,78.95,"(13.333330, 78.950000)"
Putinga,Valid,L6,300000,Fell,01/01/1937 12:00:00 AM,-29.03333,-53.05,"(-29.033330, -53.050000)"
Qidong,Valid,L/LL5,1275,Fell,01/01/1982 12:00:00 AM,32.08333,121.5,"(32.083330, 121.500000)"
Qingzhen,Valid,EH3,2600,Fell,01/01/1976 12:00:00 AM,26.53333,106.46667,"(26.533330, 106.466670)"
Queen's Mercy,Valid,H6,7000,Fell,01/01/1925 12:00:00 AM,-30.11667,28.7,"(-30.116670, 28.700000)"
Quenggouk,Valid,H4,6045,Fell,01/01/1857 12:00:00 AM,17.76667,95.18333,"(17.766670, 95.183330)"
Quesa,Valid,"Iron, IAB-ung",10750,Fell,01/01/1898 12:00:00 AM,39,-0.66667,"(39.000000, -0.666670)"
Quija,Valid,H,17450,Fell,01/01/1990 12:00:00 AM,44.61667,126.13333,"(44.616670, 126.133330)"
Quincay,Valid,L6,65,Fell,01/01/1851 12:00:00 AM,46.6,0.25,"(46.600000, 0.250000)"
Raco,Valid,H5,5000,Fell,01/01/1957 12:00:00 AM,-26.66667,-65.45,"(-26.666670, -65.450000)"
Raghunathpura,Valid,"Iron, IIAB",10200,Fell,01/01/1986 12:00:00 AM,27.72528,76.465,"(27.725280, 76.465000)"
Rahimyar Khan,Valid,L5,67225,Fell,01/01/1983 12:00:00 AM,28.225,70.2,"(28.225000, 70.200000)"
Rakovka,Valid,L6,9000,Fell,01/01/1878 12:00:00 AM,52.98333,37.03333,"(52.983330, 37.033330)"
Ramnagar,Valid,L6,3766,Fell,01/01/1940 12:00:00 AM,26.45,82.9,"(26.450000, 82.900000)"
Rampurhat,Valid,LL,100,Fell,01/01/1916 12:00:00 AM,24.16667,87.76667,"(24.166670, 87.766670)"
Ramsdorf,Valid,L6,4682,Fell,01/01/1958 12:00:00 AM,51.88333,6.93333,"(51.883330, 6.933330)"
Ranchapur,Valid,H4,290.4,Fell,01/01/1917 12:00:00 AM,23.98333,87.08333,"(23.983330, 87.083330)"
Rancho de la Presa,Valid,H5,300,Fell,01/01/1899 12:00:00 AM,19.86667,-100.81667,"(19.866670, -100.816670)"
Rangala,Valid,L6,3224.5,Fell,01/01/1937 12:00:00 AM,25.38333,72.01667,"(25.383330, 72.016670)"
Raoyang,Valid,L6,4910,Fell,01/01/1919 12:00:00 AM,38.2,115.7,"(38.200000, 115.700000)"
Ras Tanura,Valid,H6,6.1,Fell,01/01/1961 12:00:00 AM,26.66667,50.15,"(26.666670, 50.150000)"
Rasgrad,Valid,Stone-uncl,24700,Fell,01/01/1740 12:00:00 AM,43.5,26.53333,"(43.500000, 26.533330)"
Ratyn,Valid,Stone-uncl,910,Fell,01/01/1880 12:00:00 AM,52.2,17.98333,"(52.200000, 17.983330)"
Red Canyon Lake,Valid,H5,18.41,Fell,01/01/2007 12:00:00 AM,38.13742,-119.75812,"(38.137420, -119.758120)"
Reliegos,Valid,L5,17300,Fell,01/01/1947 12:00:00 AM,42.475,-5.33333,"(42.475000, -5.333330)"
Rembang,Valid,"Iron, IVA",10000,Fell,01/01/1919 12:00:00 AM,-6.73333,111.36667,"(-6.733330, 111.366670)"
Renazzo,Valid,CR2,1000,Fell,01/01/1824 12:00:00 AM,44.76667,11.28333,"(44.766670, 11.283330)"
Renca,Valid,L5,300,Fell,01/01/1925 12:00:00 AM,-32.75,-65.28333,"(-32.750000, -65.283330)"
Renqiu,Valid,L6,355,Fell,01/01/1916 12:00:00 AM,38.66667,116.13333,"(38.666670, 116.133330)"
Repeev Khutor,Valid,"Iron, IIF",7000,Fell,01/01/1933 12:00:00 AM,48.6,45.66667,"(48.600000, 45.666670)"
Revelstoke,Valid,CI1,1,Fell,01/01/1965 12:00:00 AM,51.33333,-118.95,"(51.333330, -118.950000)"
Rewari,Valid,L6,3332,Fell,01/01/1929 12:00:00 AM,28.2,76.66667,"(28.200000, 76.666670)"
Rich Mountain,Valid,L6,668,Fell,01/01/1903 12:00:00 AM,35.03333,-83.03333,"(35.033330, -83.033330)"
